 -3   // //  // //  22 21  21 34  21  3  20 40  20  6  19 40  19 20  19  3  18 48  18 34  18 27  18 20  18 20  18 17  18 14  18 11  18  8  18  4  18  1  17 57  17 54  17 50  17 45  17 41  17 36  17 30
 -2   // //  // //  22 21  21 34  21  3  20 40  20  6  19 41  19 21  19  4  18 49  18 35  18 28  18 21  18 21  18 18  18 15  18 12  18  8  18  5  18  2  17 58  17 55  17 51  17 46  17 42  17 37  17 31
 -1   // //  // //  22 20  21 34  21  3  20 40  20  6  19 41  19 21  19  4  18 49  18 35  18 28  18 21  18 21  18 18  18 15  18 12  18  9  18  6  18  3  17 59  17 55  17 51  17 47  17 43  17 38  17 32
  0   // //  // //  22 20  21 34  21  3  20 40  20  6  19 42  19 22  19  5  18 50  18 36  18 29  18 22  18 22  18 19  18 16  18 13  18 10  18  7  18  3  18  0  17 56  17 52  17 48  17 44  17 39  17 33
  1   // //  // //  22 19  21 34  21  3  20 41  20  7  19 42  19 22  19  5  18 51  18 37  18 30  18 23  18 23  18 20  18 17  18 14  18 11  18  8  18  4  18  1  17 57  17 53  17 49  17 45  17 40  17 35
  2   // //  // //  22 19  21 33  21  3  20 41  20  7  19 42  19 23  19  6  18 51  18 37  18 30  18 23  18 23  18 21  18 18  18 15  18 12  18  9  18  5  18  2  17 58  17 55  17 50  17 46  17 41  17 36
  3   // //  // //  22 18  21 33  21  3  20 41  20  7  19 43  19 23  19  6  18 52  18 38  18 31  18 24  18 24  18 21  18 18  18 16  18 13  18  9  18  6  18  3  17 59  17 56  17 52  17 47  17 43  17 37
  4   // //  // //  22 17  21 33  21  3  20 41  20  7  19 43  19 23  19  7  18 52  18 39  18 32  18 25  18 25  18 22  18 19  18 16  18 13  18 10  18  7  18  4  18  0  17 57  17 53  17 49  17 44  17 39
  5   // //  // //  22 16  21 32  21  3  20 41  20  7  19 43  19 24  19  7  18 53  18 39  18 33  18 26  18 26  18 23  18 20  18 17  18 14  18 11  18  8  18  5  18  2  17 58  17 54  17 50  17 45  17 40
  6   // //  // //  22 15  21 32  21  3  20 40  20  8  19 43  19 24  19  8  18 53  18 40  18 33  18 27  18 27  18 24  18 21  18 18  18 15  18 12  18  9  18  6  18  3  17 59  17 55  17 51  17 47  17 42
  7   // //  // //  22 14  21 31  21  2  20 40  20  8  19 44  19 24  19  8  18 54  18 41  18 34  18 27  18 27  18 25  18 22  18 19  18 16  18 13  18 10  18  7  18  4  18  0  17 57  17 53  17 48  17 43
  8   // //  // //  22 13  21 31  21  2  20 40  20  8  19 44  19 25  19  9  18 55  18 41  18 35  18 28  18 28  18 26  18 23  18 20  18 17  18 14  18 11  18  8  18  5  18  2  17 58  17 54  17 50  17 45
  9   // //  // //  22 12  21 30  21  2  20 40  20  8  19 44  19 25  19  9  18 55  18 42  18 36  18 29  18 29  18 27  18 24  18 21  18 18  18 16  18 13  18 10  18  6  18  3  17 59  17 56  17 51  17 47
 10   // //  23 46  22 10  21 30  21  1  20 40  20  8  19 44  19 25  19 10  18 56  18 43  18 36  18 30  18 30  18 27  18 25  18 22  18 19  18 17  18 14  18 11  18  8  18  4  18  1  17 57  17 53  17 48
 11   // //  23 38  22  9  21 29  21  1  20 40  20  8  19 44  19 26  19 10  18 56  18 43  18 37  18 31  18 31  18 28  18 26  18 23  18 21  18 18  18 15  18 12  18  9  18  6  18  2  17 59  17 55  17 50
 12   // //  23 31  22  8  21 28  21  0  20 39  20  8  19 44  19 26  19 11  18 57  18 44  18 38  18 32  18 32  18 29  18 27  18 24  18 22  18 19  18 16  18 13  18 10  18  7  18  4  18  0  17 56  17 52
 13   // //  23 25  22  6  21 27  21  0  20 39  20  8  19 45  19 26  19 11  18 57  18 45  18 39  18 33  18 33  18 30  18 28  18 25  18 23  18 20  18 17  18 15  18 12  18  9  18  5  18  2  17 58  17 54
 14   // //  23 20  22  5  21 26  20 59  20 39  20  8  19 45  19 27  19 11  18 58  18 46  18 40  18 34  18 34  18 31  18 29  18 26  18 24  18 21  18 19  18 16  18 13  18 10  18  7  18  4  18  0  17 56
 15   // //  23 15  22  3  21 25  20 59  20 38  20  7  19 45  19 27  19 12  18 59  18 46  18 41  18 35  18 35  18 32  18 30  18 28  18 25  18 23  18 20  18 17  18 15  18 12  18  9  18  5  18  2  17 58
 16   // //  23 11  22  2  21 24  20 58  20 38  20  7  19 45  19 27  19 12  18 59  18 47  18 41  18 36  18 36  18 33  18 31  18 29  18 26  18 24  18 21  18 19  18 16  18 13  18 10  18  7  18  4  18  0
 17   // //  23  6  22  0  21 23  20 57  20 37  20  7  19 45  19 27  19 13  19  0  18 48  18 42  18 37  18 37  18 34  18 32  18 30  18 27  18 25  18 23  18 20  18 18  18 15  18 12  18  9  18  6  18  2
 18   // //  23  2  21 58  21 22  20 57  20 37  20  7  19 45  19 28  19 13  19  0  18 49  18 43  18 38  18 38  18 35  18 33  18 31  18 29  18 26  18 24  18 22  18 19  18 16  18 14  18 11  18  8  18  4
 19   // //  22 58  21 57  21 21  20 56  20 36  20  7  19 45  19 28  19 13  19  1  18 49  18 44  18 39  18 39  18 36  18 34  18 32  18 30  18 28  18 25  18 23  18 21  18 18  18 15  18 13  18 10  18  7
 20   // //  22 54  21 55  21 20  20 55  20 36  20  6  19 45  19 28  19 14  19  1  18 50  18 45  18 40  18 40  18 37  18 35  18 33  18 31  18 29  18 27  18 24  18 22  18 20  18 17  18 15  18 12  18  9
 21   // //  22 51  21 53  21 19  20 54  20 35  20  6  19 45  19 28  19 14  19  2  18 51  18 46  18 41  18 41  18 38  18 36  18 34  18 32  18 30  18 28  18 26  18 24  18 21  18 19  18 17  18 14  18 11
 22   // //  22 47  21 51  21 18  20 53  20 34  20  6  19 45  19 28  19 14  19  2  18 52  18 47  18 42  18 42  18 40  18 38  18 36  18 34  18 32  18 30  18 27  18 25  18 23  18 21  18 19  18 16  18 14
 23   // //  22 43  21 49  21 17  20 53  20 34  20  6  19 45  19 28  19 15  19  3  18 52  18 47  18 43  18 43  18 41  18 39  18 37  18 35  18 33  18 31  18 29  18 27  18 25  18 23  18 21  18 18  18 16
