118    5 55   5 50   5 46   5 42   5 38   5 34   5 26   5 18   5  8   4 57   4 43   4 25   4 13   3 59   3 59   3 53   3 46   3 38   3 30   3 20   3  8   2 56   2 40   2 21   1 57   1 22  // //  // //
119    5 56   5 52   5 47   5 43   5 39   5 35   5 26   5 18   5  8   4 56   4 42   4 24   4 12   3 58   3 58   3 51   3 44   3 36   3 27   3 17   3  6   2 53   2 37   2 17   1 52   1 15  // //  // //
120    5 58   5 53   5 48   5 44   5 40   5 35   5 27   5 18   5  8   4 56   4 41   4 23   4 11   3 56   3 56   3 50   3 42   3 34   3 25   3 15   3  3   2 50   2 33   2 13   1 47   1  6  // //  // //
121    6  0   5 54   5 49   5 45   5 40   5 36   5 27   5 18   5  7   4 55   4 41   4 22   4  9   3 55   3 55   3 48   3 41   3 32   3 23   3 13   3  1   2 47   2 30   2  9   1 41   0 57  // //  // //
122    6  1   5 56   5 50   5 46   5 41   5 36   5 27   5 18   5  7   4 55   4 40   4 21   4  8   3 53   3 53   3 47   3 39   3 31   3 21   3 10   2 58   2 44   2 27   2  5   1 36   0 46  // //  // //
123    6  3   5 57   5 52   5 46   5 42   5 37   5 28   5 18   5  7   4 54   4 39   4 20   4  7   3 52   3 52   3 45   3 37   3 29   3 19   3  8   2 56   2 41   2 23   2  1   1 30   0 32  // //  // //
124    6  4   5 58   5 53   5 47   5 42   5 38   5 28   5 18   5  7   4 54   4 39   4 19   4  6   3 51   3 51   3 43   3 36   3 27   3 17   3  6   2 53   2 38   2 20   1 56   1 24   0  6  // //  // //
125    6  6   5 59   5 54   5 48   5 43   5 38   5 28   5 18   5  7   4 54   4 38   4 18   4  5   3 49   3 49   3 42   3 34   3 25   3 15   3  4   2 50   2 35   2 16   1 52   1 17  // //  // //  // //
126    6  8   6  1   5 55   5 49   5 44   5 39   5 29   5 18   5  6   4 53   4 37   4 17   4  4   3 48   3 48   3 40   3 32   3 23   3 13   3  1   2 48   2 32   2 13   1 47   1 10  // //  // //  // //
127    6  9   6  2   5 56   5 50   5 44   5 39   5 29   5 18   5  6   4 53   4 37   4 16   4  2   3 46   3 46   3 39   3 31   3 21   3 11   2 59   2 45   2 29   2  9   1 43   1  3  // //  // //  // //
128    6 11   6  3   5 57   5 51   5 45   5 40   5 29   5 18   5  6   4 53   4 36   4 15   4  1   3 45   3 45   3 37   3 29   3 20   3  9   2 57   2 43   2 26   2  5   1 38   0 54  // //  // //  // //
129    6 12   6  5   5 58   5 52   5 46   5 40   5 29   5 18   5  6   4 52   4 35   4 14   4  0   3 44   3 44   3 36   3 27   3 18   3  7   2 55   2 40   2 23   2  2   1 33   0 45  // //  // //  // //
130    6 14   6  6   5 59   5 52   5 47   5 41   5 30   5 18   5  6   4 52   4 35   4 13   3 59   3 42   3 42   3 34   3 26   3 16   3  5   2 53   2 38   2 20   1 58   1 28   0 33  // //  // //  // //
131    6 15   6  7   6  0   5 53   5 47   5 41   5 30   5 18   5  6   4 52   4 34   4 12   3 58   3 41   3 41   3 33   3 24   3 14   3  3   2 50   2 35   2 17   1 55   1 23   0 16  // //  // //  // //
132    6 17   6  8   6  1   5 54   5 48   5 42   5 30   5 19   5  6   4 51   4 34   4 11   3 57   3 40   3 40   3 32   3 23   3 13   3  1   2 48   2 33   2 14   1 51   1 18  // //  // //  // //  // //
133    6 18   6  9   6  2   5 55   5 49   5 42   5 31   5 19   5  6   4 51   4 33   4 10   3 56   3 39   3 39   3 30   3 21   3 11   2 59   2 46   2 30   2 11   1 47   1 12  // //  // //  // //  // //
134    6 19   6 11   6  3   5 56   5 49   5 43   5 31   5 19   5  6   4 51   4 33   4 10   3 55   3 37   3 37   3 29   3 20   3  9   2 58   2 44   2 28   2  9   1 43   1  6  // //  // //  // //  // //
135    6 21   6 12   6  4   5 57   5 50   5 44   5 31   5 19   5  6   4 50   4 32   4  9   3 54   3 36   3 36   3 28   3 18   3  8   2 56   2 42   2 26   2  6   1 40   1  0  // //  // //  // //  // //
136    6 22   6 13   6  5   5 57   5 51   5 44   5 32   5 19   5  5   4 50   4 32   4  8   3 53   3 35   3 35   3 26   3 17   3  6   2 54   2 40   2 23   2  3   1 36   0 53  // //  // //  // //  // //
137    6 24   6 14   6  6   5 58   5 51   5 45   5 32   5 19   5  5   4 50   4 31   4  7   3 52   3 34   3 34   3 25   3 15   3  5   2 52   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //
138    6 25   6 15   6  7   5 59   5 52   5 45   5 32   5 19   5  5   4 50   4 31   4  7   3 51   3 33   3 33   3 24   3 14   3  3   2 51   2 36   2 19   1 57   1 28   0 36  // //  // //  // //  // //
139    6 26   6 16   6  7   6  0   5 52   5 46   5 33   5 19   5  5   4 50   4 30   4  6   3 51   3 32   3 32   3 23   3 13   3  2   2 49   2 34   2 16   1 54   1 24   0 25  // //  // //  // //  // //
140    6 28   6 17   6  8   6  0   5 53   5 46   5 33   5 20   5  5   4 49   4 30   4  5   3 50   3 31   3 31   3 22   3 11   3  0   2 47   2 32   2 14   1 51   1 19   0  3  // //  // //  // //  // //
141    6 29   6 18   6  9   6  1   5 54   5 47   5 33   5 20   5  5   4 49   4 30   4  5   3 49   3 30   3 30   3 20   3 10   2 59   2 46   2 30   2 12   1 48   1 15  // //  // //  // //  // //  // //
142    6 30   6 19   6 10   6  2   5 54   5 47   5 34   5 20   5  5   4 49   4 29   4  4   3 48   3 29   3 29   3 19   3  9   2 57   2 44   2 28   2 10   1 45   1 11  // //  // //  // //  // //  // //
143    6 31   6 20   6 11   6  3   5 55   5 48   5 34   5 20   5  5   4 49   4 29   4  4   3 47   3 28   3 28   3 18   3  8   2 56   2 43   2 27   2  7   1 43   1  6  // //  // //  // //  // //  // //
144    6 33   6 21   6 12   6  3   5 56   5 48   5 34   5 20   5  5   4 49   4 29   4  3   3 47   3 27   3 27   3 17   3  7   2 55   2 41   2 25   2  5   1 40   1  2  // //  // //  // //  // //  // //
145    6 34   6 22   6 13   6  4   5 56   5 49   5 35   5 20   5  5   4 49   4 28   4  3   3 46   3 26   3 26   3 16   3  6   2 53   2 40   2 23   2  3   1 37   0 57  // //  // //  // //  // //  // //
146    6 35   6 23   6 14   6  5   5 57   5 49   5 35   5 21   5  5   4 48   4 28   4  2   3 45   3 25   3 25   3 15   3  5   2 52   2 38   2 21   2  1   1 34   0 52  // //  // //  // //  // //  // //
147    6 36   6 24   6 14   6  6   5 57   5 50   5 35   5 21   5  6   4 48   4 28   4  2   3 45   3 24   3 24   3 14   3  3   2 51   2 37   2 20   1 59   1 31   0 46  // //  // //  // //  // //  // //
148    6 37   6 25   6 15   6  6   5 58   5 50   5 36   5 21   5  6   4 48   4 28   4  1   3 44   3 23   3 23   3 14   3  2   2 50   2 35   2 18   1 57   1 29   0 40  // //  // //  // //  // //  // //
149    6 38   6 26   6 16   6  7   5 59   5 51   5 36   5 21   5  6   4 48   4 27   4  1   3 44   3 23   3 23   3 13   3  2   2 49   2 34   2 17   1 55   1 26   0 33  // //  // //  // //  // //  // //
150    6 39   6 27   6 17   6  8   5 59   5 51   5 36   5 21   5  6   4 48   4 27   4  0   3 43   3 22   3 22   3 12   3  1   2 48   2 33   2 15   1 53   1 23   0 25  // //  // //  // //  // //  // //
151    6 40   6 28   6 17   6  8   6  0   5 52   5 37   5 22   5  6   4 48   4 27   4  0   3 43   3 21   3 21   3 11   3  0   2 47   2 32   2 14   1 51   1 20   0 14  // //  // //  // //  // //  // //
152    6 41   6 29   6 18   6  9   6  0   5 52   5 37   5 22   5  6   4 48   4 27   4  0   3 42   3 21   3 21   3 10   2 59   2 46   2 31   2 12   1 50   1 18  // //  // //  // //  // //  // //  // //
153    6 42   6 30   6 19   6  9   6  1   5 53   5 37   5 22   5  6   4 48   4 27   3 59   3 42   3 20   3 20   3 10   2 58   2 45   2 30   2 11   1 48   1 15  // //  // //  // //  // //  // //  // //
154    6 43   6 30   6 20   6 10   6  1   5 53   5 38   5 22   5  6   4 48   4 27   3 59   3 41   3 20   3 20   3  9   2 57   2 44   2 29   2 10   1 46   1 13  // //  // //  // //  // //  // //  // //
155    6 44   6 31   6 20   6 11   6  2   5 54   5 38   5 23   5  6   4 48   4 27   3 59   3 41   3 19   3 19   3  9   2 57   2 43   2 28   2  9   1 45   1 10  // //  // //  // //  // //  // //  // //
156    6 45   6 32   6 21   6 11   6  2   5 54   5 38   5 23   5  6   4 48   4 26   3 59   3 41   3 19   3 19   3  8   2 56   2 43   2 27   2  8   1 43   1  8  // //  // //  // //  // //  // //  // //
157    6 46   6 33   6 21   6 12   6  3   5 54   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 18   3 18   3  8   2 56   2 42   2 26   2  7   1 42   1  5  // //  // //  // //  // //  // //  // //
158    6 47   6 33   6 22   6 12   6  3   5 55   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 18   3 18   3  7   2 55   2 41   2 25   2  6   1 40   1  3  // //  // //  // //  // //  // //  // //
159    6 47   6 34   6 23   6 13   6  4   5 55   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 17   3 17   3  7   2 55   2 41   2 24   2  5   1 39   1  1  // //  // //  // //  // //  // //  // //
160    6 48   6 35   6 23   6 13   6  4   5 56   5 39   5 24   5  7   4 48   4 26   3 58   3 40   3 17   3 17   3  6   2 54   2 40   2 24   2  4   1 38   0 59  // //  // //  // //  // //  // //  // //
161    6 49   6 35   6 24   6 14   6  4   5 56   5 40   5 24   5  7   4 49   4 26   3 58   3 39   3 17   3 17   3  6   2 54   2 40   2 23   2  3   1 37   0 57  // //  // //  // //  // //  // //  // //
162    6 49   6 36   6 24   6 14   6  5   5 56   5 40   5 24   5  7   4 49   4 26   3 58   3 39   3 17   3 17   3  6   2 53   2 39   2 23   2  2   1 36   0 55  // //  // //  // //  // //  // //  // //
163    6 50   6 36   6 25   6 15   6  5   5 57   5 40   5 24   5  8   4 49   4 26   3 58   3 39   3 16   3 16   3  5   2 53   2 39   2 22   2  2   1 35   0 53  // //  // //  // //  // //  // //  // //
164    6 51   6 37   6 25   6 15   6  6   5 57   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 39   2 22   2  1   1 34   0 51  // //  // //  // //  // //  // //  ++ ++
165    6 51   6 37   6 26   6 15   6  6   5 57   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 22   2  1   1 34   0 50  // //  // //  // //  // //  // //  ++ ++
166    6 52   6 38   6 26   6 16   6  6   5 58   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  1   1 33   0 48  // //  // //  // //  // //  // //  ++ ++
167    6 52   6 38   6 26   6 16   6  7   5 58   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 33   0 47  // //  // //  // //  // //  // //  ++ ++
168    6 52   6 38   6 27   6 16   6  7   5 58   5 42   5 26   5  9   4 50   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 46  // //  // //  // //  // //  // //  ++ ++
169    6 53   6 39   6 27   6 17   6  7   5 58   5 42   5 26   5  9   4 50   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 46  // //  // //  // //  // //  // //  ++ ++
170    6 53   6 39   6 27   6 17   6  7   5 59   5 42   5 26   5  9   4 50   4 27   3 58   3 40   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
171    6 53   6 39   6 28   6 17   6  8   5 59   5 42   5 26   5  9   4 50   4 28   3 58   3 40   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
172    6 54   6 40   6 28   6 17   6  8   5 59   5 43   5 26   5  9   4 50   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
173    6 54   6 40   6 28   6 18   6  8   5 59   5 43   5 27   5 10   4 51   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 39   2 22   2  1   1 33   0 45  // //  // //  // //  // //  // //  ++ ++
174    6 54   6 40   6 28   6 18   6  8   6  0   5 43   5 27   5 10   4 51   4 28   3 59   3 40   3 17   3 17   3  6   2 54   2 39   2 22   2  1   1 33   0 46  // //  // //  // //  // //  // //  ++ ++
175    6 54   6 40   6 28   6 18   6  9   6  0   5 43   5 27   5 10   4 51   4 28   3 59   3 41   3 18   3 18   3  6   2 54   2 39   2 22   2  1   1 33   0 47  // //  // //  // //  // //  // //  ++ ++
176    6 54   6 40   6 28   6 18   6  9   6  0   5 43   5 27   5 10   4 51   4 29   4  0   3 41   3 18   3 18   3  7   2 54   2 40   2 23   2  2   1 34   0 48  // //  // //  // //  // //  // //  ++ ++
177    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 27   5 11   4 52   4 29   4  0   3 41   3 18   3 18   3  7   2 55   2 40   2 23   2  2   1 35   0 49  // //  // //  // //  // //  // //  ++ ++
178    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 29   4  0   3 42   3 19   3 19   3  8   2 55   2 41   2 24   2  3   1 36   0 51  // //  // //  // //  // //  // //  ++ ++
179    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 30   4  1   3 42   3 19   3 19   3  8   2 56   2 41   2 25   2  4   1 37   0 52  // //  // //  // //  // //  // //  ++ ++
180    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 30   4  1   3 43   3 20   3 20   3  9   2 56   2 42   2 25   2  5   1 38   0 54  // //  // //  // //  // //  // //  ++ ++
181    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 11   4 53   4 30   4  2   3 43   3 20   3 20   3  9   2 57   2 43   2 26   2  6   1 39   0 56  // //  // //  // //  // //  // //  ++ ++
182    6 53   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 12   4 53   4 31   4  2   3 44   3 21   3 21   3 10   2 58   2 44   2 27   2  7   1 40   0 59  // //  // //  // //  // //  // //  // //
183    6 53   6 40   6 28   6 18   6  9   6  1   5 44   5 29   5 12   4 53   4 31   4  2   3 44   3 21   3 21   3 11   2 58   2 44   2 28   2  8   1 42   1  1  // //  // //  // //  // //  // //  // //
184    6 53   6 39   6 28   6 18   6  9   6  1   5 44   5 29   5 12   4 54   4 31   4  3   3 45   3 22   3 22   3 11   2 59   2 45   2 29   2  9   1 43   1  3  // //  // //  // //  // //  // //  // //
185    6 53   6 39   6 28   6 18   6  9   6  1   5 45   5 29   5 12   4 54   4 32   4  3   3 45   3 23   3 23   3 12   3  0   2 46   2 30   2 10   1 44   1  6  // //  // //  // //  // //  // //  // //
186    6 52   6 39   6 28   6 18   6  9   6  0   5 45   5 29   5 13   4 54   4 32   4  4   3 46   3 24   3 24   3 13   3  1   2 47   2 31   2 11   1 46   1  8  // //  // //  // //  // //  // //  // //
187    6 52   6 39   6 27   6 18   6  9   6  0   5 45   5 29   5 13   4 54   4 33   4  4   3 46   3 24   3 24   3 14   3  2   2 48   2 32   2 13   1 48   1 11  // //  // //  // //  // //  // //  // //
188    6 51   6 38   6 27   6 17   6  9   6  0   5 45   5 29   5 13   4 55   4 33   4  5   3 47   3 25   3 25   3 14   3  3   2 49   2 33   2 14   1 50   1 14  // //  // //  // //  // //  // //  // //
189    6 51   6 38   6 27   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 33   4  6   3 48   3 26   3 26   3 15   3  4   2 50   2 34   2 15   1 51   1 17  // //  // //  // //  // //  // //  // //
190    6 50   6 37   6 27   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 34   4  6   3 48   3 27   3 27   3 16   3  5   2 51   2 36   2 17   1 53   1 19  // //  // //  // //  // //  // //  // //
191    6 49   6 37   6 26   6 17   6  8   6  0   5 45   5 29   5 13   4 56   4 34   4  7   3 49   3 28   3 28   3 17   3  6   2 52   2 37   2 18   1 55   1 22  // //  // //  // //  // //  // //  // //
192    6 49   6 36   6 26   6 16   6  8   6  0   5 45   5 30   5 14   4 56   4 35   4  7   3 50   3 28   3 28   3 18   3  7   2 54   2 38   2 20   1 57   1 25  // //  // //  // //  // //  // //  // //
193    6 48   6 36   6 25   6 16   6  8   6  0   5 45   5 30   5 14   4 56   4 35   4  8   3 51   3 29   3 29   3 19   3  8   2 55   2 40   2 22   1 59   1 28   0 18  // //  // //  // //  // //  // //
194    6 47   6 35   6 25   6 16   6  7   5 59   5 44   5 30   5 14   4 56   4 36   4  9   3 51   3 30   3 30   3 20   3  9   2 56   2 41   2 23   2  1   1 31   0 31  // //  // //  // //  // //  // //
195    6 47   6 35   6 24   6 15   6  7   5 59   5 44   5 30   5 14   4 57   4 36   4  9   3 52   3 31   3 31   3 21   3 10   2 57   2 43   2 25   2  3   1 34   0 40  // //  // //  // //  // //  // //
196    6 46   6 34   6 24   6 15   6  7   5 59   5 44   5 30   5 14   4 57   4 36   4 10   3 53   3 32   3 32   3 22   3 11   2 59   2 44   2 27   2  5   1 37   0 47  // //  // //  // //  // //  // //
197    6 45   6 33   6 23   6 14   6  6   5 59   5 44   5 30   5 15   4 57   4 37   4 11   3 54   3 33   3 33   3 23   3 12   3  0   2 46   2 29   2  8   1 40   0 54  // //  // //  // //  // //  // //
198    6 44   6 32   6 23   6 14   6  6   5 58   5 44   5 30   5 15   4 58   4 37   4 11   3 55   3 34   3 34   3 24   3 14   3  1   2 47   2 30   2 10   1 43   0 59  // //  // //  // //  // //  // //
199    6 43   6 32   6 22   6 13   6  5   5 58   5 44   5 30   5 15   4 58   4 38   4 12   3 55   3 35   3 35   3 26   3 15   3  3   2 49   2 32   2 12   1 46   1  5  // //  // //  // //  // //  // //
200    6 42   6 31   6 21   6 13   6  5   5 58   5 44   5 30   5 15   4 58   4 38   4 13   3 56   3 36   3 36   3 27   3 16   3  4   2 50   2 34   2 14   1 49   1 10  // //  // //  // //  // //  // //
201    6 41   6 30   6 21   6 12   6  5   5 57   5 44   5 30   5 15   4 59   4 39   4 13   3 57   3 37   3 37   3 28   3 17   3  6   2 52   2 36   2 17   1 52   1 15  // //  // //  // //  // //  // //
202    6 40   6 29   6 20   6 12   6  4   5 57   5 43   5 30   5 15   4 59   4 39   4 14   3 58   3 38   3 38   3 29   3 19   3  7   2 54   2 38   2 19   1 55   1 20  // //  // //  // //  // //  // //
203    6 39   6 28   6 19   6 11   6  4   5 57   5 43   5 30   5 15   4 59   4 40   4 15   3 59   3 39   3 39   3 30   3 20   3  9   2 55   2 40   2 21   1 58   1 24  // //  // //  // //  // //  // //
204    6 37   6 27   6 18   6 10   6  3   5 56   5 43   5 30   5 15   4 59   4 40   4 15   4  0   3 41   3 41   3 31   3 21   3 10   2 57   2 42   2 24   2  1   1 28  // //  // //  // //  // //  // //
205    6 36   6 26   6 17   6 10   6  2   5 56   5 43   5 30   5 15   5  0   4 41   4 16   4  1   3 42   3 42   3 33   3 23   3 12   2 59   2 44   2 26   2  4   1 33   0 30  // //  // //  // //  // //
206    6 35   6 25   6 17   6  9   6  2   5 55   5 42   5 29   5 16   5  0   4 41   4 17   4  2   3 43   3 43   3 34   3 24   3 13   3  0   2 46   2 28   2  6   1 37   0 43  // //  // //  // //  // //
207    6 34   6 24   6 16   6  8   6  1   5 55   5 42   5 29   5 16   5  0   4 42   4 18   4  2   3 44   3 44   3 35   3 26   3 15   3  2   2 48   2 31   2  9   1 41   0 52  // //  // //  // //  // //
208    6 32   6 23   6 15   6  7   6  1   5 54   5 42   5 29   5 16   5  0   4 42   4 18   4  3   3 45   3 45   3 36   3 27   3 16   3  4   2 50   2 33   2 12   1 45   1  1  // //  // //  // //  // //
209    6 31   6 22   6 14   6  7   6  0   5 54   5 41   5 29   5 16   5  1   4 42   4 19   4  4   3 46   3 46   3 38   3 28   3 18   3  6   2 52   2 35   2 15   1 49   1  8  // //  // //  // //  // //
210    6 29   6 21   6 13   6  6   5 59   5 53   5 41   5 29   5 16   5  1   4 43   4 20   4  5   3 47   3 47   3 39   3 30   3 19   3  8   2 54   2 38   2 18   1 53   1 14  // //  // //  // //  // //
211    6 28   6 19   6 12   6  5   5 59   5 53   5 41   5 29   5 16   5  1   4 43   4 21   4  6   3 49   3 49   3 40   3 31   3 21   3  9   2 56   2 40   2 21   1 56   1 20  // //  // //  // //  // //
212    6 27   6 18   6 11   6  4   5 58   5 52   5 40   5 29   5 16   5  1   4 44   4 21   4  7   3 50   3 50   3 42   3 33   3 22   3 11   2 58   2 43   2 24   2  0   1 26  // //  // //  // //  // //
213    6 25   6 17   6 10   6  3   5 57   5 51   5 40   5 28   5 16   5  2   4 44   4 22   4  8   3 51   3 51   3 43   3 34   3 24   3 13   3  0   2 45   2 27   2  4   1 31   0  8  // //  // //  // //
214    6 23   6 16   6  9   6  2   5 56   5 51   5 40   5 28   5 16   5  2   4 45   4 23   4  9   3 52   3 52   3 44   3 35   3 26   3 15   3  2   2 47   2 29   2  7   1 37   0 38  // //  // //  // //
215    6 22   6 14   6  8   6  1   5 56   5 50   5 39   5 28   5 16   5  2   4 45   4 24   4 10   3 53   3 53   3 45   3 37   3 27   3 16   3  4   2 50   2 32   2 11   1 41   0 51  // //  // //  // //
216    6 20   6 13   6  6   6  0   5 55   5 49   5 39   5 28   5 16   5  2   4 46   4 24   4 11   3 54   3 54   3 47   3 38   3 29   3 18   3  6   2 52   2 35   2 14   1 46   1  1  // //  // //  // //
217    6 19   6 11   6  5   5 59   5 54   5 49   5 38   5 28   5 16   5  2   4 46   4 25   4 12   3 56   3 56   3 48   3 40   3 31   3 20   3  8   2 54   2 38   2 18   1 51   1  9  // //  // //  // //
218    6 17   6 10   6  4   5 58   5 53   5 48   5 38   5 27   5 16   5  3   4 47   4 26   4 13   3 57   3 57   3 49   3 41   3 32   3 22   3 10   2 57   2 41   2 21   1 55   1 17  // //  // //  // //
219    6 15   6  9   6  3   5 57   5 52   5 47   5 37   5 27   5 16   5  3   4 47   4 27   4 14   3 58   3 58   3 51   3 43   3 34   3 24   3 12   2 59   2 43   2 24   2  0   1 24  // //  // //  // //
220    6 13   6  7   6  1   5 56   5 51   5 46   5 37   5 27   5 16   5  3   4 47   4 27   4 15   3 59   3 59   3 52   3 44   3 35   3 25   3 14   3  1   2 46   2 27   2  4   1 30  // //  // //  // //
221    6 12   6  6   6  0   5 55   5 50   5 46   5 36   5 26   5 16   5  3   4 48   4 28   4 16   4  0   4  0   3 53   3 46   3 37   3 27   3 16   3  4   2 49   2 31   2  8   1 36   0 32  // //  // //
222    6 10   6  4   5 59   5 54   5 49   5 45   5 36   5 26   5 16   5  3   4 48   4 29   4 16   4  2   4  2   3 55   3 47   3 39   3 29   3 18   3  6   2 51   2 34   2 12   1 42   0 48  // //  // //
223    6  8   6  3   5 58   5 53   5 48   5 44   5 35   5 26   5 15   5  3   4 49   4 30   4 17   4  3   4  3   3 56   3 48   3 40   3 31   3 20   3  8   2 54   2 37   2 16   1 47   1  0  // //  // //
224    6  6   6  1   5 56   5 52   5 47   5 43   5 35   5 26   5 15   5  4   4 49   4 30   4 18   4  4   4  4   3 57   3 50   3 42   3 33   3 22   3 10   2 57   2 40   2 20   1 53   1 10  // //  // //
225    6  4   5 59   5 55   5 51   5 46   5 42   5 34   5 25   5 15   5  4   4 49   4 31   4 19   4  5   4  5   3 59   3 51   3 43   3 34   3 24   3 13   2 59   2 43   2 23   1 58   1 19  // //  // //
226    6  2   5 58   5 53   5 49   5 45   5 42   5 33   5 25   5 15   5  4   4 50   4 32   4 20   4  6   4  6   4  0   3 53   3 45   3 36   3 26   3 15   3  2   2 46   2 27   2  2   1 26  // //  // //
227    6  0   5 56   5 52   5 48   5 44   5 41   5 33   5 24   5 15   5  4   4 50   4 32   4 21   4  8   4  8   4  1   3 54   3 47   3 38   3 28   3 17   3  4   2 49   2 31   2  7   1 33  // //  // //
228    5 58   5 54   5 51   5 47   5 43   5 40   5 32   5 24   5 15   5  4   4 51   4 33   4 22   4  9   4  9   4  2   3 56   3 48   3 40   3 30   3 19   3  7   2 52   2 34   2 12   1 40   0 39  // //
229    5 56   5 53   5 49   5 46   5 42   5 39   5 32   5 24   5 15   5  4   4 51   4 34   4 23   4 10   4 10   4  4   3 57   3 50   3 41   3 32   3 22   3  9   2 55   2 38   2 16   1 46   0 55  // //
230    5 54   5 51   5 48   5 44   5 41   5 38   5 31   5 23   5 15   5  4   4 51   4 35   4 24   4 11   4 11   4  5   3 59   3 51   3 43   3 34   3 24   3 12   2 58   2 41   2 20   1 52   1  7  // //
231    5 52   5 49   5 46   5 43   5 40   5 37   5 30   5 23   5 14   5  4   4 52   4 35   4 25   4 12   4 12   4  6   4  0   3 53   3 45   3 36   3 26   3 14   3  1   2 45   2 24   1 58   1 17  // //
232    5 50   5 47   5 45   5 42   5 39   5 36   5 30   5 23   5 14   5  4   4 52   4 36   4 26   4 13   4 13   4  8   4  1   3 54   3 47   3 38   3 28   3 17   3  4   2 48   2 28   2  3   1 25  // //
233    5 48   5 45   5 43   5 40   5 38   5 35   5 29   5 22   5 14   5  4   4 52   4 37   4 27   4 15   4 15   4  9   4  3   3 56   3 48   3 40   3 30   3 19   3  7   2 51   2 32   2  8   1 33  // //
234    5 46   5 44   5 41   5 39   5 37   5 34   5 28   5 22   5 14   5  5   4 53   4 37   4 28   4 16   4 16   4 10   4  4   3 58   3 50   3 42   3 33   3 22   3  9   2 54   2 36   2 13   1 41   0 36
235    5 44   5 42   5 40   5 38   5 35   5 33   5 28   5 21   5 14   5  5   4 53   4 38   4 28   4 17   4 17   4 11   4  6   3 59   3 52   3 44   3 35   3 24   3 12   2 58   2 40   2 18   1 48   0 54
236    5 41   5 40   5 38   5 36   5 34   5 32   5 27   5 21   5 13   5  5   4 53   4 39   4 29   4 18   4 18   4 13   4  7   4  1   3 54   3 46   3 37   3 27   3 15   3  1   2 44   2 23   1 54   1  7
237    5 39   5 38   5 37   5 35   5 33   5 31   5 26   5 20   5 13   5  5   4 54   4 39   4 30   4 19   4 19   4 14   4  8   4  2   3 55   3 48   3 39   3 29   3 17   3  4   2 48   2 27   2  0   1 18
238    5 37   5 36   5 35   5 34   5 32   5 30   5 25   5 20   5 13   5  5   4 54   4 40   4 31   4 20   4 20   4 15   4 10   4  4   3 57   3 49   3 41   3 31   3 20   3  7   2 51   2 32   2  6   1 28
239    5 35   5 34   5 33   5 32   5 31   5 29   5 25   5 19   5 13   5  5   4 54   4 41   4 32   4 21   4 21   4 17   4 11   4  5   3 59   3 51   3 43   3 34   3 23   3 10   2 55   2 36   2 12   1 36
240    5 32   5 32   5 32   5 31   5 29   5 28   5 24   5 19   5 13   5  5   4 55   4 41   4 33   4 23   4 23   4 18   4 12   4  7   4  0   3 53   3 45   3 36   3 25   3 13   2 58   2 40   2 17   1 44
241    5 30   5 30   5 30   5 29   5 28   5 27   5 23   5 18   5 12   5  5   4 55   4 42   4 34   4 24   4 24   4 19   4 14   4  8   4  2   3 55   3 47   3 38   3 28   3 16   3  2   2 44   2 22   1 51
242    5 28   5 28   5 28   5 28   5 27   5 26   5 22   5 18   5 12   5  5   4 55   4 43   4 35   4 25   4 25   4 20   4 15   4 10   4  4   3 57   3 49   3 41   3 31   3 19   3  5   2 48   2 27   1 58
243    5 25   5 26   5 26   5 26   5 25   5 24   5 21   5 17   5 12   5  5   4 56   4 43   4 35   4 26   4 26   4 21   4 17   4 11   4  5   3 59   3 51   3 43   3 33   3 22   3  8   2 52   2 32   2  5
